word,pos,cefr_level,uzbek_translation
the,definite article,A1,aniq artikli
theater,n.,A1,teatr
their,det.,A1,ularning
them,pron.,A1,"ularni, ularga"
then,adv.,A1,keyin
there,adv.,A1,u yer(da)/(ga)
they,pron.,A1,ular
thing,n.,A1,"narsa, buyum"
think,v.,A1,o'ylamoq
third,number,A1,uchinchi
thirsty,adj.,A1,chanqagan
thirteen,number,A1,o'n uch
thirty,number,A1,o'ttiz
this,det./pron.,A1,"bu, mana bu"
thousand,number,A1,ming
three,number,A1,uch
through,"prep., adv.",A1,bo'ylab
Thursday,n.,A1,payshanba
ticket,n.,A1,chipta
time,n.,A1,"vaqt, soat"
tired,adj.,A1,charchagan
title,n.,A1,"unvon, sarlavha"
to,prep.,A1,…ga
today,"adv., n.",A1,bugun
together,adv.,A1,birga
toilet,n.,A1,"tualet, hojatxona"
tomato,n.,A1,pomidor
tomorrow,"adv., n.",A1,ertaga
tonight,"adv., n.",A1,bugun kechqurun
too,adv.,A1,haddan tashqari
tooth,n.,A1,tish
topic,n.,A1,mavzu
tourist,n.,A1,turist
town,n.,A1,shahar
traffic,n.,A1,yo'l qatnovi
train,n.,A1,poyezd
travel,"v., n.",A1,sayr/sayohat qilmoq; sayr
tree,n.,A1,daraxt
trip,n.,A1,sayohat
truck,n.,A1,yuk mashinasi
true,adj.,A1,"to'g'ri, rost"
try,v.,A1,urinmoq
T-shirt,n.,A1,futbolka
Tuesday,n.,A1,seshanba
turn,"v., n.",A1,burilmoq; burilish
TV,n.,A1,televizor
twelve,number,A1,o'n ikki
twenty,number,A1,yigirma
twice,adv.,A1,ikki marta
two,number,A1,ikki
type,n.,A1,"tur, nav, xil"
umbrella,n.,A1,soyabon
uncle,n.,A1,"tog'a, amaki"
under,"prep., adv.",A1,tagida
understand,v.,A1,tushunmoq
university,n.,A1,universitet
until,conj./prep.,A1,…gacha
up,"adv., prep.",A1,tepa(da)/(ga)
upstairs,adv.,A1,tepa qavat(da)/(ga)
us,pron.,A1,"bizni, bizga"
use,v.,A1,ishlatmoq
useful,adj.,A1,foydali
usually,adv.,A1,odatda
vacation,n.,A1,ta'til
vegetable,n.,A1,sabzavot
very,adv.,A1,juda
video,n.,A1,video
visit,"v., n.",A1,tashrif buyurmoq; tashrif
visitor,n.,A1,tashrif buyuruvchi
wait,v.,A1,kutmoq
waiter,n.,A1,ofitsant
wake,v.,A1,uyg'onmoq
walk,"v., n.",A1,yurmoq; sayr
wall,n.,A1,devor
want,v.,A1,xohlamoq
warm,adj.,A1,iliq
wash,v.,A1,yuvmoq
watch,"v., n.",A1,tomosha qilmoq; qo'l soati
water,n.,A1,suv
way,n.,A1,"yo'l, usul"
we,pron.,A1,biz
wear,v.,A1,kiymoq
weather,n.,A1,ob-havo
website,n.,A1,vebsayt
Wednesday,n.,A1,chorshanba
week,n.,A1,hafta
weekend,n.,A1,hafta oxiri
welcome,"exclam., v., adj.",A1,marhamat; qarshi olmoq
well,"adv., adj., exclam.",A1,yaxshi
west,"n., adj., adv.",A1,g'arb(da)/(ga)
what,pron./det.,A1,"nima, qaysi"
when,"adv., pron., conj.",A1,qachon
where,"adv., conj.",A1,qayer(da)/(ga)
which,pron./det.,A1,qaysi
white,"adj., n.",A1,"oq, oq rangli"
who,pron.,A1,kim
why,adv.,A1,"nega, nima uchun"
wife,n.,A1,"xotin, rafiqa"
will,modal v.,A1,kelasi zamonni ifodalaydi
win,v.,A1,yutmoq
window,n.,A1,"deraza, oyna"
wine,n.,A1,vino
winter,n.,A1,qish
with,prep.,A1,bilan
without,prep.,A1,…siz
woman,n.,A1,ayol
wonderful,adj.,A1,"ajoyib, g'aroyib"
word,n.,A1,so'z
work,"v., n.",A1,ishlamoq; ish
worker,n.,A1,ishchi
world,n.,A1,"dunyo, jahon"
would,modal v.,A1,kelasi zamonni ifodalaydi
write,v.,A1,yozmoq
writer,n.,A1,yozuvchi
writing,n.,A1,"yozuv, yozish"
wrong,adj.,A1,"xato, noto'g'ri"
yard,n.,A1,"dala, hovli"
yeah,exclam.,A1,ha
year,n.,A1,yil
yellow,"adj., n.",A1,sariq
yes,exclam.,A1,ha
yesterday,"adv., n.",A1,kecha
you,pron.,A1,sen
young,adj.,A1,yosh
your,det.,A1,sening
yourself,pron.,A1,sening o'zing
ability,n.,A2,qobiliyat
able,adj.,A2,qodir
accept,v.,A2,qabul qilmoq
accident,n.,A2,baxtsiz hodisa
according to,prep.,A2,…ga ko'ra
achieve,v.,A2,erishmoq
act,v.,A2,harakat qilmoq; rol o'ynamoq
active,adj.,A2,faol
actually,adv.,A2,aslida
adult,adj.,A2,voyaga yetganlarga xos
advantage,n.,A2,ustunlik
adventure,n.,A2,sarguzasht
advertise,v.,A2,reklama qilmoq
advertisement,n.,A2,reklama
advertising,n.,A2,reklama qilish
affect,v.,A2,ta'sir qilmoq
after,"conj., adv.",A2,…dan keyin
against,prep.,A2,…ga qarshi
ah,exclam.,A2,"eh, ha"
airline,n.,A2,havo yo'llari
alive,adj.,A2,"tirik, jonli"
all,adv.,A2,hamma
all right,adj./adv.,A2,to'g'ri; hammasi joyida
allow,v.,A2,ruxsat bermoq
almost,adv.,A2,deyarli
alone,adj./adv.,A2,"yakka, yolg'iz"
along,"prep., adv.",A2,(yoqasi) bo'ylab
already,adv.,A2,allaqachon
alternative,n.,A2,o'rnini bosuvchi
although,conj.,A2,…ga qaramasdan
among,prep.,A2,orasida
amount,n.,A2,miqdor
analyze,v.,A2,analiz qilmoq
ancient,adj.,A2,qadimiy
ankle,n.,A2,(oyoq) to'pig'i
any,adv.,A2,xohlagan bir
anybody,pron.,A2,kimdir
anymore,adv.,A2,bundan buyog'iga
anyway,adv.,A2,nima bo'lgandayam
anywhere,"adv., pron.",A2,xohlagan bir joy
app,n.,A2,"ilova, dastur"
appear,v.,A2,"ko'rinmoq, paydo bo'lmoq"
appearance,n.,A2,ko'rinish
apply,v.,A2,ariza bermoq
architect,n.,A2,arxitektor
architecture,n.,A2,arxitektura
argue,v.,A2,tortishmoq
argument,n.,A2,tortishuv
army,n.,A2,armiya
arrange,v.,A2,rejalashtirmoq
arrangement,n.,A2,reja
as,"adv., conj.",A2,kabi
asleep,adj.,A2,uyqudagi
assistant,"n., adj.",A2,yordamchi
athlete,n.,A2,sportchi
attack,"n., v.",A2,hujum qilmoq
attend,v.,A2,qatnashmoq
attention,n.,A2,e'tibor; diqqat
attractive,adj.,A2,maftunkor
audience,n.,A2,tomoshabinlar
author,n.,A2,muallif
available,adj.,A2,"bor, mavjud"
average,"adj., n.",A2,o'rtacha
avoid,v.,A2,qochmoq
award,n.,A2,"yutuq, mukofot"
awful,adj.,A2,"rasvo, juda yomon"
back,adj.,A2,orqa tomondagi
background,n.,A2,orqa fon
badly,adv.,A2,yomon tarzda
based,adj.,A2,asosida
bean,n.,A2,loviya
bear,n.,A2,hayvon
beat,v.,A2,urmoq
beef,n.,A2,mol go'shti
before,"conj., adv.",A2,oldin
behave,v.,A2,o'zini tutmoq
behavior,n.,A2,xulq-atvor
belong,v.,A2,tegishli bo'lmoq
belt,n.,A2,kamar
benefit,n.,A2,foyda
best,"adv., n.",A2,eng yaxshi
better,adv.,A2,yaxshiroq
between,adv.,A2,orasida
billion,number,A2,milliard
biology,n.,A2,biologiya
birth,n.,A2,tug'ilish
bit,n.,A2,bo'lak
blank,"adj., n.",A2,bo'sh
block,n.,A2,blok
blood,n.,A2,qon
blow,v.,A2,esmoq; puflamoq
board,n.,A2,"taxta, doska"
boil,v.,A2,qaynamoq
bone,n.,A2,suyak
book,v.,A2,buyurtma bermoq
borrow,v.,A2,qarzga olmoq
boss,n.,A2,boshliq
bottom,"n., adj.",A2,"tub, past"
bowl,n.,A2,"chuqur idish, kosa"
brain,n.,A2,miya
bridge,n.,A2,ko'prik
bright,adj.,A2,yorug'
brilliant,adj.,A2,ajoyib
broken,adj.,A2,singan
brush,"v., n.",A2,cho'tkalamoq; cho'tka
burn,v.,A2,kuydirmoq
businessman,n.,A2,biznesmen
button,n.,A2,tugma
camp,"n., v.",A2,lager; lager qilmoq
camping,n.,A2,lagerga borish
campus,n.,A2,binolar joylashgan hudud
can,n.,A2,"idish, banka"
candy,n.,A2,"shirinlik, konfet"
care,"n., v.",A2,qayg'urish; qayg'urmoq
careful,adj.,A2,ehtiyotkor
carefully,adv.,A2,ehtiyotkorlik bilan
carpet,n.,A2,gilam
cartoon,n.,A2,multfilm
case,n.,A2,"ish, hodisa"
cash,n.,A2,naqd pul
catch,v.,A2,ushlamoq
cause,"n., v.",A2,sabab; sababchi bo'lmoq
celebrate,v.,A2,nishonlamoq
celebrity,n.,A2,mashhur odam
cell,n.,A2,hujayra
century,n.,A2,asr
certain,adj.,A2,"aniq, amin"
certainly,adv.,A2,albatta
chance,n.,A2,imkoniyat
character,n.,A2,asar qahramoni
charity,n.,A2,xayriya
chat,"v., n.",A2,chatda suhbatlashmoq; chat
check,n.,A2,chek
chef,n.,A2,bosh oshpaz
chemistry,n.,A2,kimyo
chip,n.,A2,chip
choice,n.,A2,tanlov
church,n.,A2,cherkov
cigarette,n.,A2,sigareta
circle,"n., v.",A2,aylana; aylana chizmoq
classical,adj.,A2,klassik
clear,adj.,A2,"toza, tiniq"
clearly,adv.,A2,aniq
clerk,n.,A2,ishchi
climate,n.,A2,iqlim
close,adj.,A2,yaqin
closed,adj.,A2,yopiq
closet,n.,A2,shkaf
clothing,n.,A2,kiyim-kechak
cloud,n.,A2,bulut
coach,n.,A2,trener
coast,n.,A2,qirg'oq
code,n.,A2,kod
colleague,n.,A2,hamkasb
collect,v.,A2,yig'moq
column,n.,A2,ustun
comedy,n.,A2,komediya
comfortable,adj.,A2,qulay
comment,n.,A2,izoh
communicate,v.,A2,muloqot qilmoq
community,n.,A2,jamiyat
compete,v.,A2,bellashmoq
competition,n.,A2,bellashuv
complain,v.,A2,shikoyat qilmoq
completely,adv.,A2,butunlay
condition,n.,A2,holat
conference,n.,A2,konferensiya
connect,v.,A2,ulamoq
connected,adj.,A2,ulangan
consider,v.,A2,o'ylab ko'rmoq
contain,v.,A2,o'z ichiga olmoq
context,n.,A2,matn
continent,n.,A2,qit'a
continue,v.,A2,davom etmoq
control,"n., v.",A2,nazorat; nazorat qilmoq
cook,n.,A2,oshpaz
cookie,n.,A2,pechenye
copy,"n., v.",A2,ko'chirma; ko'chirmoq
corner,n.,A2,burchak
correctly,adv.,A2,to'g'ri ravishda
count,v.,A2,sanamoq
couple,n.,A2,juft
cover,v.,A2,qoplamoq
crazy,adj.,A2,jinni
creative,adj.,A2,yaratuvchan
credit,n.,A2,kredit
crime,n.,A2,jinoyat
criminal,n.,A2,jinoiy
cross,"v., n.",A2,kesib o'tmoq; kesishgan chiziqlar
crowd,n.,A2,olomon
crowded,adj.,A2,gavjum
cry,v.,A2,yig'lamoq
curly,adj.,A2,jingalak
cycle,"n., v.",A2,aylana; velosiped haydamoq
daily,adj.,A2,kundalik
danger,n.,A2,xavf-xatar
dark,n.,A2,qorong'i
data,n.,A2,ma'lumot
dead,adj.,A2,o'lgan
deal,v.,A2,hal qilmoq
death,n.,A2,o'lim
decision,n.,A2,qaror
deep,adj.,A2,chuqur
definitely,adv.,A2,aniq
degree,n.,A2,daraja
dentist,n.,A2,tish shifokori
department,n.,A2,bo'lim
depend,v.,A2,bog'liq bo'lmoq
desert,n.,A2,cho'l
designer,n.,A2,dizayner
dessert,n.,A2,dessert
destroy,v.,A2,vayron qilmoq
detective,n.,A2,detektiv
develop,v.,A2,rivojlan(tir)moq
device,n.,A2,qurilma
diary,n.,A2,kundalik
differently,adv.,A2,boshqacha tarzda
digital,adj.,A2,raqamli
direct,adj.,A2,to'g'ridan-to'g'ri
direction,n.,A2,yo'nalish
director,n.,A2,direktor
disagree,v.,A2,qarshi chiqmoq
disappear,v.,A2,g'oyib bo'lmoq
disaster,n.,A2,ofat
discover,v.,A2,kashf etmoq
discovery,n.,A2,kashfiyot
discussion,n.,A2,muhokama
disease,n.,A2,kasallik
distance,n.,A2,masofa
divorced,adj.,A2,ajrashgan
document,n.,A2,hujjat
double,"adj., det., pron., v.",A2,ikkitalik
download,"v., n.",A2,yuklab olmoq
downstairs,adj.,A2,pastki qavatdagi
downtown,"adv., n., adj.",A2,shahar tashqarisi
drama,n.,A2,drama
drawing,n.,A2,chizilgan rasm
dream,"n., v.",A2,orzu; orzu qilmoq
drive,n.,A2,uy old tomonidagi yo'lak
driving,n.,A2,haydash
drop,v.,A2,tashlamoq
drug,n.,A2,"dori, narkotik"
dry,"adj., v.",A2,quruq; quritmoq
earn,v.,A2,ishlab topmoq
earth,n.,A2,yer (sayyorasi)
easily,adv.,A2,osonlik bilan
education,n.,A2,ta'lim
effect,n.,A2,ta'sir
either,"det./pron., adv.",A2,ikkalasidan biri
electric,adj.,A2,elektrda yuradigan
electrical,adj.,A2,elektrga oid
electricity,n.,A2,elektr toki
electronic,adj.,A2,elektronik
elevator,n.,A2,eskalator
employ,v.,A2,ishga olmoq
employee,n.,A2,ishchi
employer,n.,A2,ish beruvchi
empty,adj.,A2,bo'm-bo'sh
ending,n.,A2,oxiri
energy,n.,A2,energiya
engine,n.,A2,motor
engineer,n.,A2,muhandis
enormous,adj.,A2,ulkan
enter,v.,A2,kirmoq
environment,n.,A2,atrof-muhit
equipment,n.,A2,asbob-uskuna
error,n.,A2,xatolik
especially,adv.,A2,ayniqsa
essay,n.,A2,insho
everyday,adj.,A2,kundalik
everywhere,adv.,A2,hamma yerda
evidence,n.,A2,dalil
exact,adj.,A2,aniq
exactly,adv.,A2,aniq
excellent,adj.,A2,ajoyib
except,prep.,A2,…dan tashqari
exist,v.,A2,mavjud bo'lmoq
expect,v.,A2,kutmoq
experience,n.,A2,tajriba
experiment,n.,A2,eksperiment
expert,"n., adj.",A2,mutaxassis
explanation,n.,A2,tushuntirish
express,v.,A2,ifodalamoq
expression,n.,A2,ifoda
extreme,adj.,A2,haddan tashqari
extremely,adv.,A2,nihoyatda
factor,n.,A2,faktor
factory,n.,A2,fabrika
fail,v.,A2,muvaffaqiyatsizlikka uchramoq
fair,adj.,A2,adolatli
fan,n.,A2,muxlis
farm,v.,A2,fermachilik bilan shug'ullanmoq
farming,n.,A2,fermachilik
fashion,n.,A2,moda
fat,n.,A2,yog'
fear,n.,A2,qo'rquv
feature,n.,A2,xususiyat
feed,v.,A2,ovqatlantirmoq
female,"adj., n.",A2,ayol
fever,n.,A2,isitma
fiction,n.,A2,fantastika
field,n.,A2,dala; soha
fight,"v., n.",A2,urushmoq; jang
figure,n.,A2,"shakl, raqam"
film,"n., v.",A2,film; filmga olmoq
final,n.,A2,final
finally,adv.,A2,nihoyat
finger,n.,A2,barmoq
finish,n.,A2,oxiri
fire,v.,A2,o't ochmoq
first,n.,A2,"ilk, birinchi"
fish,v.,A2,baliq ovlamoq
fishing,n.,A2,baliq ovi
fit,"v., adj.",A2,mos kelmoq; sog'lom
fix,v.,A2,tuzatmoq
flat,adj.,A2,tekis
flu,n.,A2,gripp
fly,n.,A2,pashsha
flying,"n., adj.",A2,uchish
focus,"v., n.",A2,e'tiborini qaratmoq
following,adj.,A2,quyidagi
foreign,adj.,A2,chet elga aloqador
forest,n.,A2,o'rmon
fork,n.,A2,sanchqi
formal,adj.,A2,rasmiy
fortunately,adv.,A2,yaxshiyamki
forward,adv.,A2,oldinga
free,adv.,A2,tarkibida yo'q
fresh,adj.,A2,"toza, sof"
frog,n.,A2,qurbaqa
fun,adj.,A2,quvnoq
furniture,n.,A2,mebel
further,adj.,A2,qo'shimcha; uzoqroq
future,adj.,A2,kelajak
gallery,n.,A2,gallereya
gap,n.,A2,bo'sh joy
garbage,n.,A2,axlat
gas,n.,A2,gaz; benzin
gate,n.,A2,darvoza
general,adj.,A2,umumiy
gift,n.,A2,sovg'a
goal,n.,A2,maqsad
god,n.,A2,xudo
gold,"n., adj.",A2,oltin
golf,n.,A2,golf
good,n.,A2,mahsulot
government,n.,A2,hukumat
grass,n.,A2,"o't, gazon"
greet,v.,A2,salomlashmoq
grocery,n.,A2,mahsulot do'koni
ground,n.,A2,"yer, tuproq"
guest,n.,A2,mehmon
guide,"n., v.",A2,gid; yo'l boshlamoq
gun,n.,A2,to'pponcha
guy,n.,A2,yigit
habit,n.,A2,odat
half,adv.,A2,yarim
hall,n.,A2,zal
happily,adv.,A2,xursandchilik bilan
have,auxiliary v.,A2,yordamchi fe'l
headache,n.,A2,bosh og'rig'i
heart,n.,A2,yurak
heat,"n., v.",A2,issiqlik; isitmoq
heavy,adj.,A2,og'ir
height,n.,A2,"bo'yi, balandlik"
helpful,adj.,A2,yordami teguvchi
hero,n.,A2,qahramon
hers,pron.,A2,uniki
herself,pron.,A2,uning o'zi
hide,v.,A2,yashirmoq
high,adv.,A2,baland
hill,n.,A2,tepalik
himself,pron.,A2,uning o'zi
his,pron.,A2,uning
hit,"v., n.",A2,urmoq; zarba
hockey,n.,A2,xokkey
hold,v.,A2,ushlamoq
hole,n.,A2,teshik
holiday,n.,A2,bayram
home,adj.,A2,uyga aloqador
hope,n.,A2,umid
huge,adj.,A2,ulkan
human,"adj., n.",A2,inson
hurt,"v., adj.",A2,shikastlamoq; shikastlangan
ideal,adj.,A2,"ideal, mukammal"
identify,v.,A2,aniqlamoq
ill,adj.,A2,kasal
illness,n.,A2,kasallik
image,n.,A2,ko'rinish
immediately,adv.,A2,darhol
impossible,adj.,A2,ilojsiz
included,adj.,A2,qamralgan
including,prep.,A2,qamragan holda
increase,"v., n.",A2,oshmoq; ko'tarilish
incredible,adj.,A2,g'aroyib
independent,adj.,A2,mustaqil
individual,"n., adj.",A2,individual
industry,n.,A2,sanoat
informal,adj.,A2,norasmiy
injury,n.,A2,jarohat
insect,n.,A2,hasharot
inside,"prep., adv., n., adj.",A2,ichkari(ga)/(da)
instead,adv.,A2,…ning o'rniga
instruction,n.,A2,yo'riqnoma
instructor,n.,A2,instruktor
instrument,n.,A2,asbob
intelligent,adj.,A2,aqlli
international,adj.,A2,xalqaro
introduction,n.,A2,kirish
invent,v.,A2,ixtiro qilmoq
invention,n.,A2,ixtiro
invitation,n.,A2,taklifnoma
invite,v.,A2,taklif etmoq
involve,v.,A2,o'z ichiga olmoq
item,n.,A2,narsa
itself,pron.,A2,o'zi
jam,n.,A2,murabbo
jazz,n.,A2,jaz
jewelry,n.,A2,taqinchoqlar
joke,"n., v.",A2,hazil; hazillashmoq
journalist,n.,A2,jurnalist
jump,"v., n.",A2,sakramoq; sakrash
kid,n.,A2,bola
kill,v.,A2,o'ldirmoq
kilometer,n.,A2,kilometr
king,n.,A2,qirol
knee,n.,A2,tizza
knife,n.,A2,pichoq
knock,v.,A2,"urmoq, taqillatmoq"
knowledge,n.,A2,bilim
lab,n.,A2,labaratoriya
lady,n.,A2,xonim
lake,n.,A2,ko'l
lamp,n.,A2,lampa
land,v.,A2,qo'nmoq
laptop,n.,A2,noutbuk
last,"adv., n.",A2,oxirgi
last,v.,A2,davom etmoq
later,adj.,A2,keyinroq
laughter,n.,A2,kulgi
law,n.,A2,qonun
lawyer,n.,A2,advokat
lazy,adj.,A2,dangasa
lead,v.,A2,yo'l boshlamoq
leader,n.,A2,yetakchi
learning,n.,A2,o'rganish
least,"det./pron., adv.",A2,eng kam
lecture,"n., v.",A2,ma'ruza; ma'ruza qilmoq
lemon,n.,A2,limon
lend,v.,A2,berib turmoq
less,"det./pron., adv.",A2,kamroq
level,n.,A2,daraja
lifestyle,n.,A2,hayot tarzi
lift,v.,A2,ko'tarmoq
light,v.,A2,yorug'lik
light,adj.,A2,yengil
likely,adj.,A2,ehtimolli
link,"n., v.",A2,havola; bog'lamoq
listener,n.,A2,tinglovchi
little,adv.,A2,biroz
lock,"v., n.",A2,qulflamoq; qulf
look,n.,A2,ko'rinish
lost,adj.,A2,adashgan
loud,"adj., adv.",A2,baland (ovozga nisbatan)
loudly,adv.,A2,baland ovozda
low,"adj., adv.",A2,past
luck,n.,A2,omad
lucky,adj.,A2,omadli
mail,"n., v.",A2,pochta; pochta orqali jo'natmoq
major,adj.,A2,asosiy
male,"adj., n.",A2,erkak
manage,v.,A2,uddalamoq
manager,n.,A2,menejer
manner,n.,A2,"yo'l, urf-odat"
mark,"v., n.",A2,belgilamoq; belgi
marry,v.,A2,uylanmoq
material,n.,A2,material
math,n.,A2,matematika
mathematics,n.,A2,matematika
matter,"n., v.",A2,masala; ahamiyatga ega bo'lmoq
may,modal v.,A2,mumkin
mayor,n.,A2,hokim
media,n.,A2,ommaviy axborot vositasi
medical,adj.,A2,tibbiy
medicine,n.,A2,dori-darmon
memory,n.,A2,xotira
mention,v.,A2,aytib o'tmoq
metal,n.,A2,metall
method,n.,A2,usul
middle,"n., adj.",A2,o'rtasi
might,modal v.,A2,mumkin
mind,"n., v.",A2,"miya, aql; qarshilik qilmoq"
mine,pron.,A2,meniki
mirror,n.,A2,ko'zgu
missing,adj.,A2,yo'q
monkey,n.,A2,maymun
moon,n.,A2,oy
mostly,adv.,A2,asosan
motorcycle,n.,A2,motosikl
movement,n.,A2,harakat
musical,adj.,A2,musiqiy
musician,n.,A2,bastakor
myself,pron.,A2,mening o'zim
narrow,adj.,A2,tor
national,adj.,A2,milliy
nature,n.,A2,tabiat
nearly,adv.,A2,deyarli
necessary,adj.,A2,"muhim, zarur"
neck,n.,A2,bo'yin
need,n.,A2,zaruriyat
neither,det./pron.,A2,"na unisi, na bunisi"
nervous,adj.,A2,hayajonda
network,n.,A2,tarmoq
noise,n.,A2,shovqin
noisy,adj.,A2,shovqinli
none,pron.,A2,hech biri
normal,adj.,A2,odatiy
normally,adv.,A2,odatda
notice,"v., n.",A2,payqamoq; yozuv
novel,n.,A2,roman
nowhere,adv.,A2,hech qayer
number,v.,A2,raqam yozmoq
nut,n.,A2,yong'oq
offer,"v., n.",A2,taklif etmoq; taklif
officer,n.,A2,ofitser
oil,n.,A2,"yog', moy"
onto,prep.,A2,ustiga
opportunity,n.,A2,imkoniyat
option,n.,A2,variant
ordinary,adj.,A2,odatiy
organization,n.,A2,tashkilot
organize,v.,A2,tashkil etmoq
original,adj.,A2,original
ourselves,pron.,A2,bizning o'zimiz
outside,"prep., n., adj.",A2,tashqarida
oven,n.,A2,duxovka
overseas,adv.,A2,dengiz ortida
own,v.,A2,egalik qilmoq
owner,n.,A2,ega
pack,v.,A2,yig'ishtirmoq
pain,n.,A2,og'riq
painter,n.,A2,rassom
palace,n.,A2,saroy
parking,n.,A2,parkovka
particular,adj.,A2,aniq
pass,v.,A2,uzatib yubormoq
passenger,n.,A2,yo'lovchi
past,adv.,A2,…dan o'tib
patient,n.,A2,bemor
pattern,n.,A2,naqsh
pay,n.,A2,maosh
peace,n.,A2,tinchlik
penny,n.,A2,pens
per,prep.,A2,har biriga
"percent noun.,",adj./adv.,A2,foiz
perform,v.,A2,chiqish qilmoq
perhaps,adv.,A2,ehtimol
permission,n.,A2,ruxsat
personality,n.,A2,shaxsiyat
pet,n.,A2,uy hayvoni
photograph,v.,A2,fotosurat olmoq
physical,adj.,A2,jismoniy
physics,n.,A2,fizika
pick,v.,A2,"olmoq, tanlamoq"
pilot,n.,A2,uchuvchi
planet,n.,A2,sayyora
plant,v.,A2,ekmoq
plastic,"n., adj.",A2,plastmassa
plate,n.,A2,"idish, tarelka"
platform,n.,A2,platforma
please,v.,A2,ko'nglini olmoq
pleased,adj.,A2,mamnun
pocket,n.,A2,cho'ntak
polite,adj.,A2,xushmuomala
pollution,n.,A2,ifloslanish
pop,"n., adj.",A2,pop musiqa
population,n.,A2,aholi
position,n.,A2,lavozim
possession,n.,A2,mol-mulk
possibility,n.,A2,ehtimollik
poster,n.,A2,plakat
power,n.,A2,kuch-qudrat
predict,v.,A2,bashorat qilmoq
present,v.,A2,namoyish etmoq
president,n.,A2,president
prevent,v.,A2,oldini olmoq
print,v.,A2,chop etmoq
printer,n.,A2,printer
prison,n.,A2,qamoqxona
prize,n.,A2,yutuq
process,n.,A2,jarayon
produce,v.,A2,ishlab chiqarmoq
professional,adj.,A2,professional
professor,n.,A2,professor
profile,n.,A2,profil
progress,n.,A2,rivojlanish
promise,"v., n.",A2,va'da bermoq; va'da
pronounce,v.,A2,talaffuz etmoq
protect,v.,A2,himoya qilmoq
provide,v.,A2,ta'minlamoq
public,"adj., n.",A2,ommaviy; omma
publish,v.,A2,nashr etmoq
pull,v.,A2,tortmoq
purpose,n.,A2,maqsad
push,v.,A2,itarmoq
quality,n.,A2,sifat
quantity,n.,A2,miqdor
queen,n.,A2,qirolicha
question,v.,A2,savol bermoq
quietly,adv.,A2,sokinlik bilan
race,"n., v.",A2,musobaqa; musobaqalashmoq
railroad,n.,A2,temir yo'li
raise,v.,A2,ko'tarmoq
rate,n.,A2,daraja
rather,adv.,A2,biroz
reach,v.,A2,yetmoq
react,v.,A2,reaksiya bildirmoq
realize,v.,A2,tushunib yetmoq
receive,v.,A2,qabul qilmoq
recent,adj.,A2,yaqindagi
recently,adv.,A2,yaqinda
reception,n.,A2,qabulxona
recipe,n.,A2,retsept
recognize,v.,A2,tanimoq
recommend,v.,A2,tavsiya etmoq
record,"n., v.",A2,rekord; yozib olmoq
recording,n.,A2,yozuv
recycle,v.,A2,qayta ishlamoq
reduce,v.,A2,kamaytirmoq
refer,v.,A2,ishora etmoq
refrigerator,n.,A2,muzlatkich
refuse,v.,A2,rad etmoq
region,n.,A2,hudud
regular,adj.,A2,odatiy
relationship,n.,A2,munosabat
remove,v.,A2,olib tashlamoq
repair,v.,A2,tuzatmoq
replace,v.,A2,almashtirmoq
reply,"v., n.",A2,javob qaytarmoq; javob
report,v.,A2,hisobot bermoq
reporter,n.,A2,muxbir
request,n.,A2,iltimos
research,"n., v.",A2,tadqiqot; tadqiqot o'tkazmoq
researcher,n.,A2,tadqiqotchi
respond,v.,A2,javob qaytarmoq
response,n.,A2,javob
rest,n.,A2,qolgani
rest,"n., v.",A2,dam; dam olmoq
review,"n., v.",A2,sharh; ko'rib chiqmoq
ride,n.,A2,minish
ring,n.,A2,uzuk
ring,v.,A2,qo'ng'iroq qilmoq
rise,v.,A2,ko'tarilmoq
rock,n.,A2,tosh
rock,n.,A2,rok musiqa
role,n.,A2,rol
roof,n.,A2,(uy) tomi
round,"adj., adv., prep.",A2,aylana
route,n.,A2,marshrut
rude,adj.,A2,qo'pol
run,n.,A2,yugurish
runner,n.,A2,yuguruvchi
running,n.,A2,yugurish
sadly,adv.,A2,afsuski
safe,adj.,A2,xavfsiz
sail,v.,A2,(kemada) suzmoq
sailing,n.,A2,(kemada) suzish
salary,n.,A2,maosh
sale,n.,A2,sotuv
sauce,n.,A2,sous
save,v.,A2,saqlamoq
scared,adj.,A2,qo'rqqan
scary,adj.,A2,qo'rqinchli
scene,n.,A2,sahna
schedule,n.,A2,jadval
score,"v., n.",A2,gol urmoq; ball
screen,n.,A2,ekran
sea,n.,A2,dengiz
search,"n., v.",A2,izlash; izlamoq
season,n.,A2,fasl
seat,n.,A2,o'rindiq
second,adv.,A2,ikkinchi
secret,"adj., n.",A2,sirli; sir
secretary,n.,A2,sekretar
seem,v.,A2,tuyulmoq
sense,n.,A2,tuyg'u
separate,adj.,A2,alohida
series,n.,A2,seriya
serious,adj.,A2,jiddiy
serve,v.,A2,xizmat qilmoq
service,n.,A2,xizmat
several,det./pron.,A2,bir nechta
shake,v.,A2,qaltiratmoq
shape,n.,A2,shakl
sheet,n.,A2,varaq
ship,n.,A2,kema
shoulder,n.,A2,yelka
shout,"v., n.",A2,baqirmoq; baqiriq
shut,"v., adj.",A2,yopmoq; yopiq
side,n.,A2,tomon
sign,"n., v.",A2,"belgi, imzo; imzo qo'ymoq"
silver,"n., adj.",A2,kumush
simple,adj.,A2,oddiy
since,"prep., conj.",A2,…dan beri
